frame,edge_density,motion_score,activity_index,mean_brightness,color_variance,video_name,source_file
frame_000000.jpg,0.08241,0.0,0.08241,111.97,54.29,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000001.jpg,0.079828,0.10789,0.187718,111.66,53.76,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000002.jpg,0.076238,0.105606,0.181844,111.78,53.06,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000003.jpg,0.075703,0.097482,0.173185,111.6,52.79,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000004.jpg,0.076237,0.099544,0.175782,111.02,52.71,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000005.jpg,0.075674,0.101905,0.177578,110.7,52.67,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000006.jpg,0.076783,0.098987,0.17577,110.99,53.08,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000007.jpg,0.076731,0.104204,0.180935,111.04,53.17,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000008.jpg,0.076101,0.103735,0.179836,110.75,52.92,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000009.jpg,0.077003,0.105871,0.182874,109.91,53.01,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000010.jpg,0.076737,0.10569,0.182426,109.3,52.7,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000011.jpg,0.076291,0.106148,0.18244,109.13,52.76,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000012.jpg,0.076319,0.099871,0.17619,108.78,52.93,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000013.jpg,0.076524,0.099426,0.17595,108.79,53.21,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000014.jpg,0.075615,0.100154,0.175769,108.1,53.13,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000015.jpg,0.074379,0.100065,0.174445,108.18,52.85,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000016.jpg,0.07441,0.100122,0.174532,107.78,52.64,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000017.jpg,0.074236,0.100594,0.17483,108.31,52.7,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
frame_000018.jpg,0.074019,0.100417,0.174436,108.44,53.16,20250429_1300-1400_130659-00049-M-0002,20250429_1300-1400_130659-00049-M-0002_activity_results.csv
